종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,업종명
060310,3S,KOSDAQ,중견기업부,2515,-25,-0.98,2545,2545,2500,324760,816359135,128477874630,51084642,기계·장비
095570,AJ네트웍스,KOSPI,,4550,10,0.22,4550,4655,4525,212955,978822855,205900053450,45252759,서비스업
006840,AK홀딩스,KOSPI,,14050,50,0.36,14060,14110,14000,1892,26625660,186128232050,13247561,기타금융
054620,APS,KOSDAQ,중견기업부,6980,-220,-3.06,7390,7390,6970,84025,595990940,138861662580,19894221,금융
265520,AP시스템,KOSDAQ,우량기업부,25200,-1200,-4.55,26150,26250,25100,314515,8024370000,385091809200,15281421,기계·장비
211270,AP위성,KOSDAQ,벤처기업부,13930,-100,-0.71,14030,14090,13920,54660,764241630,210096494720,15082304,운송장비·부품
109960,AP헬스케어,KOSDAQ,중견기업부,744,6,0.81,733,760,718,194768,143673412,84929957736,114153169,유통
139050,BF랩스,KOSDAQ,관리종목(소속부없음),2805,0,0.0,0,0,0,0,0,24247965555,8644551,기타서비스
027410,BGF,KOSPI,,3550,10,0.28,3510,3560,3510,37104,131261620,339794608050,95716791,기타금융
282330,BGF리테일,KOSPI,,103900,4200,4.21,100100,103900,100000,75408,7754847500,1795797833400,17283906,유통업
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,4185,-5,-0.12,4190,4215,4130,33112,138392370,226129255875,54033275,화학
138930,BNK금융지주,KOSPI,,8630,60,0.7,8640,8730,8560,475814,4106155720,2779623219940,322088438,기타금융
001460,BYC,KOSPI,,34850,100,0.29,35900,35900,34000,371,12829800,217678327500,6246150,섬유의복
001465,BYC우,KOSPI,,15060,40,0.27,15150,15150,15000,174,2613990,32436981000,2153850,섬유의복
013720,CBI,KOSDAQ,중견기업부,1281,26,2.07,1242,1312,1240,373945,481271726,57168642216,44628136,운송장비·부품
083790,CG인바이츠,KOSDAQ,벤처기업부,2720,-5,-0.18,2675,2720,2635,114052,304187550,209152175040,76894182,기타서비스
001040,CJ,KOSPI,,120100,-2200,-1.8,123400,124000,119200,68251,8270600200,3504157459800,29176998,기타금융
079160,CJ CGV,KOSPI,,5660,10,0.18,5660,5740,5640,449188,2555037240,937179692660,165579451,서비스업
035760,CJ ENM,KOSDAQ GLOBAL,중견기업부,77900,500,0.65,76900,78700,76400,53721,4165929700,1708281096600,21929154,기타서비스
311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,13100,0,0.0,13000,13550,13000,5646,74352130,119373776200,9112502,기타서비스
00104K,CJ4우(전환),KOSPI,,87200,0,0.0,87200,87200,85800,4516,390103900,368551846400,4226512,기타금융
000120,CJ대한통운,KOSPI,,92200,300,0.33,92300,92900,91600,29244,2691807700,2103298116800,22812344,운수창고업
