Symbol,Name,IndustryCode,Industry,Symbol_kor
AAPL,Apple Inc,57106020.0,전화 및 소형 장치,애플
MSFT,Microsoft Corp,57201020.0,소프트웨어,마이크로소프트
NVDA,NVIDIA Corp,57101010.0,반도체,엔비디아
AMZN,Amazon.com Inc,53402010.0,백화점,아마존닷컴
GOOGL,Alphabet Inc Class A,57201030.0,온라인 서비스,알파벳 Class A
META,Meta Platforms Inc,57201030.0,온라인 서비스,메타 플랫폼스
GOOG,Alphabet Inc Class C,57201030.0,온라인 서비스,알파벳 Class C
TSLA,Tesla Inc,53403010.0,"자동차 차량, 부품 및 서비스 소매",테슬라
AVGO,Broadcom Inc,57101010.0,반도체,브로드컴
COST,Costco Wholesale Corp,53402020.0,할인점,코스트코 홀세일
ASML,ASML Holding NV ADR,57101020.0,반도체 장비 및 테스트,ASML 홀딩 ADR
NFLX,Netflix Inc,57201030.0,온라인 서비스,넷플릭스
AMD,Advanced Micro Devices Inc,57101010.0,반도체,어드밴스드 마이크로 디바이시스(AMD)
ADBE,Adobe Inc,57201020.0,소프트웨어,어도비
AZN,AstraZeneca PLC ADR,56201040.0,제약,아스트라제네카 ADR
PEP,PepsiCo Inc,54101030.0,무알콜 음료,펩시코
LIN,Linde PLC,51101010.0,상품 화학,린드
TMUS,T-Mobile US Inc,57401020.0,무선 통신 서비스,T-모바일 US
QCOM,Qualcomm Inc,57101010.0,반도체,퀄컴
CSCO,Cisco Systems Inc,57102010.0,통신 및 네트워킹,시스코 시스템즈
TXN,Texas Instruments Inc,57101010.0,반도체,텍사스 인스트루먼트
INTU,Intuit Inc,57301010.0,핀테크,인튜이트
PDD,PDD Holdings Inc ADR,57201030.0,온라인 서비스,핀둬둬 ADR
AMAT,Applied Materials Inc,57101020.0,반도체 장비 및 테스트,어플라이드 머티어리얼즈
AMGN,Amgen Inc,56201040.0,제약,암젠
ARM,Arm Holdings PLC ADR,57101010.0,반도체,암 홀딩스 ADR
CMCSA,Comcast Corp,57401020.0,무선 통신 서비스,컴캐스트
ISRG,Intuitive Surgical Inc,56101010.0,첨단 의료 장비 및 기술,인튜이티브 서지컬
INTC,Intel Corp,57101010.0,반도체,인텔
HON,Honeywell International Inc,54401010.0,소비재 대기업,허니웰 인터내셔널
BKNG,Booking Holdings Inc,53301040.0,여가 및 오락시설,부킹 홀딩스
MU,Micron Technology Inc,57101010.0,반도체,마이크론 테크놀로지
SNY,Sanofi SA ADR,56201040.0,제약,사노피 ADR
LRCX,Lam Research Corp,57101020.0,반도체 장비 및 테스트,램 리서치
VRTX,Vertex Pharmaceuticals Inc,56202010.0,생명 공학 및 의학 연구,버텍스 파마슈티컬
REGN,Regeneron Pharmaceuticals Inc,56202010.0,생명 공학 및 의학 연구,리제네론 파마슈티컬스
ADI,Analog Devices Inc,57101010.0,반도체,애널로그 디바이시스
PANW,Palo Alto Networks Inc,57201020.0,소프트웨어,팔로 알토 네트웍스
KLAC,KLA Corp,57101020.0,반도체 장비 및 테스트,KLA
ADP,Automatic Data Processing Inc,57201010.0,IT 서비스 및 컨설팅,오토매틱 데이터 프로세싱
ABNB,Airbnb Inc,57201030.0,온라인 서비스,에어비앤비
GILD,Gilead Sciences Inc,56201040.0,제약,길리어드 사이언스
MDLZ,Mondelez International Inc,54102020.0,식품 가공,몬덜리즈 인터내셔널
SNPS,Synopsys Inc,57201020.0,소프트웨어,시놉시스
CRWD,CrowdStrike Holdings Inc,57201010.0,IT 서비스 및 컨설팅,크라우드 스트라이크 홀딩스
SBUX,Starbucks Corp,53301020.0,레스토랑 및 바,스타벅스
MELI,MercadoLibre Inc,57201030.0,온라인 서비스,메르카도리브레
CDNS,Cadence Design Systems Inc,57201020.0,소프트웨어,케이던스 디자인 시스템즈
EQIX,Equinix Inc,60102040.0,특수 REITs,이퀴닉스
CTAS,Cintas Corp,52203040.0,경영 지원 서비스,신타스
CME,CME Group Inc,55102050.0,"금융, 상품 시장 운영 및 서비스 제공",CME 그룹
MAR,Marriott International Inc,53301010.0,"호텔, 모텔 및 크루즈 라인",메리어트 인터내셔널
NXPI,NXP Semiconductors NV,57101010.0,반도체,NXP 세미콘덕터
CSX,CSX Corp,52405030.0,지상 화물 및 물류,CSX
PYPL,PayPal Holdings Inc,52203040.0,경영 지원 서비스,페이팔 홀딩스
ORLY,O'Reilly Automotive Inc,53403010.0,"자동차 차량, 부품 및 서비스 소매",오레일리 오토모티브
WDAY,Workday Inc,57201020.0,소프트웨어,워크데이
COIN,Coinbase Global Inc,57301030.0,블록 체인 및 암호화폐,코인베이스 글로벌
CEG,Constellation Energy Corp,59101010.0,전력 유틸리티,콘스텔레이션 에너지
MRVL,Marvell Technology Inc,57101010.0,반도체,마벨 테크놀로지 그룹
ROP,Roper Technologies Inc,57201020.0,소프트웨어,로퍼 테크놀로지스
NTES,NetEase Inc ADR,57201030.0,온라인 서비스,넷이즈 ADR
PCAR,Paccar Inc,52102020.0,중장비 및 차량,파카
ADSK,Autodesk Inc,57201020.0,소프트웨어,오토데스크
MNST,Monster Beverage Corp,54101030.0,무알콜 음료,몬스터 베버리지
IBKR,Interactive Brokers Group Inc,55102010.0,투자 은행 및 중개 서비스,인터랙티브 브로커스 그룹
CPRT,Copart Inc,57201030.0,온라인 서비스,코파트
AEP,American Electric Power Company Inc,59101010.0,전력 유틸리티,아메리칸 일렉트릭 파워 컴퍼니
ROST,Ross Stores Inc,53403040.0,의류 및 액세서리 소매,로스 스토어스
MCHP,Microchip Technology Inc,57101010.0,반도체,마이크로칩 테크놀러지
SMCI,Super Micro Computer Inc,57106010.0,컴퓨터 하드웨어,슈퍼 마이크로 컴퓨터
CHTR,Charter Communications Inc,57401010.0,통합 통신 서비스,차터 커뮤니케이션
MRNA,Moderna Inc,56202010.0,생명 공학 및 의학 연구,모더나
TTD,Trade Desk Inc,57201020.0,소프트웨어,트레이드 데스크
TEAM,Atlassian Corp,57201020.0,소프트웨어,아틀라시안
PAYX,Paychex Inc,52203030.0,고용 서비스,페이첵스
DXCM,Dexcom Inc,56101020.0,"의료 장비, 물품 및 유통",덱스컴
FTNT,Fortinet Inc,57201020.0,소프트웨어,포티넷
KDP,Keurig Dr Pepper Inc,54101030.0,무알콜 음료,큐리그 닥터 페퍼
ODFL,Old Dominion Freight Line Inc,52405030.0,지상 화물 및 물류,올드 도미니언 프라이트 라인
JD,JD.Com Inc ADR,53402010.0,백화점,제이디닷컴 ADR
DASH,DoorDash Inc,57201030.0,온라인 서비스,도어대시
KHC,Kraft Heinz Co,54102020.0,식품 가공,크래프트 하인즈
IDXX,IDEXX Laboratories Inc,56101020.0,"의료 장비, 물품 및 유통",아이덱스 래보라토리스
DDOG,Datadog Inc,57201020.0,소프트웨어,데이터도그
FAST,Fastenal Co,52102010.0,산업용 기계 및 장비,패스널
VRSK,Verisk Analytics Inc,57201010.0,IT 서비스 및 컨설팅,베리스크 애널리틱스
MPWR,Monolithic Power Systems Inc,57101010.0,반도체,모놀리식 파워 시스템즈
EA,Electronic Arts Inc,57201020.0,소프트웨어,일렉트로닉 아츠
GEHC,GE Healthcare Technologies Inc,56101010.0,첨단 의료 장비 및 기술,GE HealthCare Technologies Inc
FANG,Diamondback Energy Inc,50102020.0,"오일, 가스 탐사 및 생산",다이아몬드백 에너지
CTSH,Cognizant Technology Solutions Corp,57201010.0,IT 서비스 및 컨설팅,코그니전트 테크놀로지 솔루션
ACGL,Arch Capital Group Ltd,55301020.0,손해보험,아치 캐피털 그룹
NDAQ,Nasdaq Inc,55102050.0,"금융, 상품 시장 운영 및 서비스 제공",나스닥
EXC,Exelon Corp,59101010.0,전력 유틸리티,엑셀론
BKR,Baker Hughes Co,50103020.0,오일 관련 서비스 및 장비,베이커 휴즈
LULU,Lululemon Athletica Inc,53202020.0,의류 및 액세서리,룰루레몬 애슬레티카
CCEP,Coca-Cola Europacific Partners PLC,54101030.0,무알콜 음료,코카-콜라 유로퍼시픽 파트너스
BIIB,Biogen Inc,56201040.0,제약,바이오젠
ON,ON Semiconductor Corp,57101010.0,반도체,온 세미콘덕터
GFS,GlobalFoundries Inc,57101020.0,반도체 장비 및 테스트,글로벌파운드리
BIDU,Baidu Inc ADR,57201030.0,온라인 서비스,바이두 ADR
CDW,CDW Corp,57107010.0,통합 하드웨어 및 소프트웨어,CDW
FER,Ferrovial SE,52201020.0,건설 및 엔지니어링,페로비알
CSGP,CoStar Group Inc,57201030.0,온라인 서비스,코스타 그룹
XEL,Xcel Energy Inc,59101010.0,전력 유틸리티,엑셀 에너지
ALNY,Alnylam Pharmaceuticals Inc,56202010.0,생명 공학 및 의학 연구,앨나일램 파마슈티컬스
